file,point_x,point_y,distance,ground_truth_x,ground_truth_y,kind
102_7,335,259,5.0990195135927845,334,264,bifurcation
102_7,332,260,4.47213595499958,334,264,bifurcation
102_7,329,216,3.605551275463989,327,219,bifurcation
102_7,278,273,5.830951894845301,273,276,bifurcation
102_7,247,253,7.211102550927978,241,257,bifurcation
102_7,259,157,7.0,259,164,termination
102_8,301,235,6.708203932499369,307,232,bifurcation
102_8,316,180,2.23606797749979,314,181,bifurcation
102_8,223,218,5.656854249492381,227,222,bifurcation
103_1,285,107,5.385164807134504,287,112,bifurcation
103_1,287,118,6.0,287,112,bifurcation
103_1,277,127,3.605551275463989,279,130,bifurcation
103_1,286,129,7.0710678118654755,279,130,bifurcation
103_1,289,139,7.810249675906654,295,134,bifurcation
103_1,337,302,5.385164807134504,339,307,bifurcation
103_1,289,139,5.830951894845301,284,142,bifurcation
103_1,289,139,8.0,289,147,bifurcation
103_1,224,175,5.656854249492381,220,171,bifurcation
103_1,271,86,4.47213595499958,275,88,bifurcation
103_1,289,95,3.1622776601683795,290,98,bifurcation
103_1,381,221,7.0710678118654755,380,228,termination
103_1,382,223,5.385164807134504,380,228,termination
103_2,317,173,4.47213595499958,319,177,bifurcation
103_2,320,228,7.280109889280518,327,230,bifurcation
103_2,322,234,6.4031242374328485,327,230,bifurcation
103_2,341,179,4.242640687119285,344,182,termination
103_2,291,162,6.0,291,168,termination
103_2,363,299,7.615773105863909,360,306,bifurcation
103_2,355,300,7.810249675906654,360,306,bifurcation
103_2,355,301,7.0710678118654755,360,306,bifurcation
103_2,366,302,7.211102550927978,360,306,bifurcation
103_2,354,303,6.708203932499369,360,306,bifurcation
103_2,269,268,3.1622776601683795,268,265,bifurcation
103_3,312,51,3.1622776601683795,311,54,termination
103_3,257,160,6.324555320336759,259,154,termination
103_3,291,189,4.242640687119285,294,186,bifurcation
103_3,301,214,7.810249675906654,307,209,bifurcation
103_3,301,214,6.4031242374328485,296,218,bifurcation
103_3,320,373,6.4031242374328485,324,378,termination
103_3,317,375,7.615773105863909,324,378,termination
103_3,359,355,4.242640687119285,362,358,termination
103_3,320,319,7.0710678118654755,327,320,bifurcation
103_3,295,399,3.0,295,402,termination
103_3,241,442,7.211102550927978,245,436,bifurcation
103_3,245,389,3.605551275463989,247,392,termination
103_3,255,332,4.242640687119285,258,335,termination
103_3,253,335,5.0,258,335,termination
103_4,315,234,6.324555320336759,317,240,bifurcation
103_4,224,191,4.47213595499958,228,193,bifurcation
103_4,256,60,7.615773105863909,263,63,bifurcation
103_4,391,113,3.605551275463989,388,115,bifurcation
103_4,217,319,5.830951894845301,222,322,termination
103_4,264,331,3.1622776601683795,263,328,termination
103_4,338,320,7.615773105863909,341,327,bifurcation
103_4,290,365,4.47213595499958,294,367,termination
103_4,396,237,6.4031242374328485,392,242,bifurcation
103_4,287,172,3.1622776601683795,288,175,termination
103_5,378,84,7.810249675906654,384,89,termination
103_5,382,88,2.23606797749979,384,89,termination
103_5,423,163,6.324555320336759,421,157,termination
103_5,323,158,4.242640687119285,326,155,termination
103_5,406,193,7.280109889280518,408,186,termination
103_5,417,288,5.385164807134504,422,286,termination
103_5,402,302,3.605551275463989,405,304,termination
103_5,407,318,4.47213595499958,411,320,bifurcation
103_5,318,166,3.0,318,169,bifurcation
103_5,320,192,6.324555320336759,326,190,bifurcation
103_5,257,301,4.47213595499958,261,299,bifurcation
103_5,319,201,3.605551275463989,316,203,bifurcation
103_5,243,348,5.385164807134504,245,353,termination
103_5,349,364,5.385164807134504,351,369,bifurcation
103_5,363,365,4.47213595499958,367,367,termination
103_5,220,302,5.0990195135927845,219,307,termination
103_5,426,335,4.47213595499958,424,339,bifurcation
103_6,275,241,2.23606797749979,273,242,bifurcation
103_6,279,241,6.082762530298219,273,242,bifurcation
103_6,377,352,7.0710678118654755,376,359,bifurcation
103_6,374,365,6.324555320336759,376,359,bifurcation
103_6,300,347,2.23606797749979,299,345,bifurcation
103_6,274,180,5.0,278,183,bifurcation
103_6,219,269,5.656854249492381,215,265,bifurcation
103_6,343,260,6.324555320336759,349,258,bifurcation
103_7,267,222,7.615773105863909,264,229,bifurcation
103_7,267,222,7.211102550927978,261,218,bifurcation
103_7,353,364,1.4142135623730951,354,363,termination
103_7,307,398,5.0990195135927845,308,403,bifurcation
103_7,223,415,6.4031242374328485,228,419,bifurcation
103_8,234,263,2.8284271247461903,232,261,bifurcation
103_8,292,221,3.0,292,224,bifurcation
103_8,302,235,7.810249675906654,308,230,bifurcation
103_8,294,180,3.605551275463989,296,183,bifurcation
103_8,382,363,7.280109889280518,384,356,bifurcation
103_8,377,334,3.1622776601683795,376,337,bifurcation
103_8,218,398,7.810249675906654,224,393,bifurcation
103_8,306,335,7.0710678118654755,311,340,bifurcation
103_8,217,373,6.4031242374328485,222,369,bifurcation
103_8,200,340,3.605551275463989,203,342,termination
104_1,250,210,5.385164807134504,252,215,termination
104_1,334,214,5.385164807134504,339,216,bifurcation
104_1,345,219,6.708203932499369,339,216,bifurcation
104_1,265,10,7.615773105863909,258,13,termination
104_2,309,301,5.0,309,306,bifurcation
104_2,304,179,4.242640687119285,301,182,termination
104_2,301,182,0.0,301,182,termination
104_3,278,270,3.605551275463989,280,273,termination
104_3,285,270,5.830951894845301,280,273,termination
104_3,355,348,5.0990195135927845,350,347,termination
104_3,350,350,3.0,350,347,termination
104_3,369,207,6.082762530298219,370,201,termination
104_4,383,350,3.605551275463989,381,353,bifurcation
104_4,406,327,7.211102550927978,400,323,bifurcation
104_4,243,371,3.1622776601683795,242,374,termination
104_4,338,411,3.0,338,408,termination
104_5,270,291,6.082762530298219,276,290,bifurcation
104_5,246,181,4.123105625617661,245,185,termination
104_5,205,232,7.211102550927978,199,228,bifurcation
104_5,239,351,7.0710678118654755,244,356,bifurcation
104_5,315,174,1.0,314,174,termination
104_5,344,159,7.280109889280518,342,152,termination
104_5,286,252,8.0,286,260,bifurcation
104_6,228,286,7.810249675906654,234,291,bifurcation
104_6,202,331,6.4031242374328485,207,335,bifurcation
104_6,290,156,1.4142135623730951,289,157,termination
104_6,316,149,4.47213595499958,314,153,termination
104_6,318,152,4.123105625617661,314,153,termination
104_6,239,274,3.605551275463989,242,272,bifurcation
104_6,306,309,5.0,310,306,bifurcation
104_6,220,160,0.0,220,160,termination
104_7,301,261,5.656854249492381,305,265,bifurcation
104_8,337,322,4.47213595499958,333,320,bifurcation
104_8,335,359,6.082762530298219,341,360,bifurcation
105_1,210,273,2.23606797749979,211,275,bifurcation
105_1,223,220,5.385164807134504,225,225,bifurcation
105_2,340,77,6.082762530298219,334,78,termination
105_2,331,342,3.605551275463989,329,345,bifurcation
105_2,318,355,6.082762530298219,319,361,bifurcation
105_2,367,354,7.810249675906654,372,360,bifurcation
105_2,216,77,4.242640687119285,219,80,bifurcation
105_2,242,51,7.280109889280518,240,44,bifurcation
105_3,333,142,7.0710678118654755,326,141,bifurcation
105_3,234,174,5.0,237,170,termination
105_3,299,234,7.810249675906654,305,229,bifurcation
105_3,333,213,7.615773105863909,326,210,bifurcation
105_3,190,207,5.385164807134504,188,212,bifurcation
105_4,333,109,3.0,333,112,bifurcation
105_4,333,109,7.810249675906654,338,103,bifurcation
105_4,391,118,5.830951894845301,386,115,termination
105_5,219,131,5.0,222,135,bifurcation
105_5,366,65,8.0,358,65,bifurcation
105_5,261,95,4.47213595499958,265,97,bifurcation
105_5,223,89,3.1622776601683795,226,90,bifurcation
105_5,304,314,4.47213595499958,300,312,bifurcation
105_5,267,318,4.47213595499958,269,314,bifurcation
105_5,315,289,5.0990195135927845,316,294,bifurcation
105_5,322,157,7.0,329,157,bifurcation
105_5,230,237,7.211102550927978,226,231,bifurcation
105_5,225,238,7.0710678118654755,226,231,bifurcation
105_5,198,283,5.830951894845301,193,280,bifurcation
105_5,197,156,5.830951894845301,200,161,bifurcation
105_5,266,130,2.0,266,132,termination
105_5,265,281,4.242640687119285,262,278,bifurcation
105_5,247,284,6.082762530298219,246,278,bifurcation
105_6,159,299,7.211102550927978,163,293,bifurcation
105_6,197,173,3.1622776601683795,194,172,bifurcation
105_6,286,252,4.47213595499958,290,250,bifurcation
105_6,319,224,3.605551275463989,317,227,bifurcation
105_6,188,215,6.082762530298219,187,221,bifurcation
105_6,277,384,4.123105625617661,278,388,bifurcation
105_7,286,204,2.23606797749979,287,202,termination
105_7,324,131,5.0,321,135,termination
105_7,402,350,6.708203932499369,408,347,bifurcation
105_7,284,238,4.242640687119285,287,235,termination
105_7,161,260,5.0990195135927845,166,261,bifurcation
105_7,320,414,3.605551275463989,322,417,bifurcation
105_7,223,312,3.605551275463989,226,314,bifurcation
105_7,217,252,7.211102550927978,223,256,bifurcation
105_8,301,142,4.242640687119285,304,139,termination
105_8,303,172,4.123105625617661,304,176,bifurcation
105_8,258,173,5.385164807134504,260,178,bifurcation
105_8,228,237,3.605551275463989,231,239,bifurcation
105_8,236,238,5.0990195135927845,231,239,bifurcation
105_8,235,244,6.4031242374328485,231,239,bifurcation
105_8,328,352,2.0,328,354,bifurcation
106_1,270,146,6.324555320336759,276,148,bifurcation
106_1,222,82,5.0,227,82,bifurcation
106_1,332,47,5.0,336,44,termination
106_1,215,120,7.0710678118654755,220,115,termination
106_2,429,319,4.47213595499958,427,323,termination
106_2,335,82,5.656854249492381,331,86,bifurcation
106_2,375,318,2.8284271247461903,373,320,bifurcation
106_3,292,363,3.1622776601683795,291,360,bifurcation
106_3,284,381,7.211102550927978,290,385,bifurcation
106_3,283,382,7.615773105863909,290,385,bifurcation
106_3,286,390,6.4031242374328485,290,385,bifurcation
106_3,218,299,7.280109889280518,220,306,bifurcation
106_3,243,319,7.0710678118654755,244,326,bifurcation
106_3,243,332,6.082762530298219,244,326,bifurcation
106_3,322,257,1.0,321,257,termination
106_4,191,193,4.47213595499958,189,189,bifurcation
106_5,318,214,7.615773105863909,315,207,bifurcation
106_5,387,130,2.8284271247461903,389,132,termination
106_5,366,100,4.123105625617661,365,104,bifurcation
106_5,280,76,4.47213595499958,282,80,bifurcation
106_5,290,162,5.0990195135927845,291,167,bifurcation
106_6,228,272,6.0,222,272,bifurcation
106_6,192,223,4.123105625617661,196,224,bifurcation
106_6,316,194,7.280109889280518,309,192,termination
106_6,237,130,5.0990195135927845,236,135,bifurcation
106_6,277,202,6.324555320336759,279,208,bifurcation
106_7,239,130,6.324555320336759,233,132,bifurcation
106_7,223,269,5.0,223,264,bifurcation
106_7,181,221,6.324555320336759,187,223,bifurcation
106_7,187,204,6.324555320336759,181,202,bifurcation
106_7,220,287,7.0,220,294,bifurcation
106_7,366,254,6.0,366,260,bifurcation
106_7,374,275,5.830951894845301,371,280,bifurcation
106_7,162,204,5.830951894845301,157,201,termination
106_8,256,174,2.23606797749979,258,175,termination
107_1,279,219,5.830951894845301,274,216,bifurcation
107_1,286,202,7.0710678118654755,291,207,bifurcation
107_1,334,256,5.830951894845301,331,251,bifurcation
107_1,344,227,5.830951894845301,349,230,bifurcation
107_1,187,211,5.830951894845301,190,216,bifurcation
107_1,188,252,5.385164807134504,190,247,bifurcation
107_1,212,240,6.082762530298219,218,241,bifurcation
107_1,274,150,4.47213595499958,272,146,bifurcation
107_1,268,81,5.0,271,85,bifurcation
107_1,339,87,1.0,338,87,termination
107_1,367,118,3.0,364,118,bifurcation
107_1,180,159,3.605551275463989,183,161,bifurcation
107_1,271,39,4.0,271,43,bifurcation
107_1,236,62,5.830951894845301,239,67,termination
107_1,237,71,4.47213595499958,239,67,termination
107_1,345,45,6.708203932499369,351,42,termination
107_1,237,5,5.0,237,10,termination
107_1,234,9,3.1622776601683795,237,10,termination
107_1,218,31,5.830951894845301,221,36,bifurcation
107_1,363,247,3.1622776601683795,360,248,termination
107_1,366,253,7.810249675906654,360,248,termination
107_1,287,121,3.1622776601683795,284,120,bifurcation
107_1,268,110,5.830951894845301,263,107,bifurcation
107_2,325,239,4.0,321,239,bifurcation
107_2,269,186,5.830951894845301,272,181,bifurcation
107_2,273,186,5.0990195135927845,272,181,bifurcation
107_2,354,249,6.0,354,255,termination
107_2,355,254,1.4142135623730951,354,255,termination
107_2,349,255,5.0,354,255,termination
107_2,340,174,5.656854249492381,344,170,bifurcation
107_2,302,283,5.0,302,278,termination
107_2,366,277,7.211102550927978,360,281,bifurcation
107_2,301,202,6.324555320336759,303,208,bifurcation
107_2,296,223,4.123105625617661,300,224,bifurcation
107_2,268,243,7.280109889280518,275,245,bifurcation
107_2,277,245,2.0,275,245,bifurcation
107_2,291,144,4.0,291,148,termination
107_2,329,321,6.4031242374328485,334,325,bifurcation
107_3,275,154,2.23606797749979,276,156,termination
107_3,489,223,6.4031242374328485,493,218,termination
107_3,362,215,7.0710678118654755,357,220,bifurcation
107_3,430,256,4.242640687119285,433,253,termination
107_3,317,306,5.0,322,306,termination
107_4,267,60,7.280109889280518,269,53,bifurcation
107_4,182,206,5.0,178,203,termination
107_4,274,222,5.0990195135927845,279,221,bifurcation
107_4,300,367,3.1622776601683795,299,364,bifurcation
107_4,207,353,4.242640687119285,210,356,bifurcation
107_4,174,340,7.0710678118654755,179,345,bifurcation
107_4,346,303,2.0,346,305,bifurcation
107_4,348,357,6.708203932499369,354,360,bifurcation
107_4,335,382,5.0,339,385,bifurcation
107_4,285,321,4.47213595499958,287,325,termination
107_4,345,220,5.0,349,217,termination
107_5,235,243,5.830951894845301,240,246,bifurcation
107_5,272,253,5.0990195135927845,273,258,termination
107_5,377,149,4.242640687119285,380,146,termination
107_5,334,263,5.830951894845301,337,268,bifurcation
107_5,342,273,7.0710678118654755,337,268,bifurcation
107_5,310,206,2.0,312,206,termination
107_5,303,173,7.0710678118654755,298,168,bifurcation
107_5,300,142,5.0990195135927845,305,143,bifurcation
107_5,263,301,5.0990195135927845,268,302,termination
107_5,267,338,7.0710678118654755,272,333,bifurcation
107_5,297,334,7.0,297,327,bifurcation
107_5,230,362,7.810249675906654,236,367,bifurcation
107_5,380,228,7.0710678118654755,375,223,bifurcation
107_5,344,325,6.082762530298219,343,319,termination
107_5,203,337,4.47213595499958,205,341,bifurcation
107_5,337,44,5.385164807134504,339,49,bifurcation
107_5,300,233,5.656854249492381,304,237,bifurcation
107_6,218,255,5.656854249492381,222,259,termination
107_6,386,222,5.385164807134504,391,220,termination
107_6,337,159,3.605551275463989,335,162,termination
107_6,281,140,5.0990195135927845,282,135,termination
107_6,144,321,6.082762530298219,145,327,bifurcation
107_6,226,337,4.47213595499958,228,333,termination
107_6,351,358,5.0,354,362,bifurcation
107_6,329,384,4.123105625617661,328,380,bifurcation
107_6,251,287,4.123105625617661,252,291,termination
107_6,294,375,4.123105625617661,295,371,termination
107_6,154,293,5.0990195135927845,149,294,termination
107_6,149,282,4.123105625617661,150,278,termination
107_6,310,222,6.4031242374328485,305,218,bifurcation
107_6,315,195,6.4031242374328485,319,200,bifurcation
107_7,323,118,5.0990195135927845,324,123,bifurcation
107_7,246,157,3.605551275463989,249,159,termination
107_7,234,186,5.0,230,183,termination
107_7,396,205,3.1622776601683795,393,206,bifurcation
107_8,337,172,5.0,334,168,bifurcation
107_8,363,251,8.0,371,251,bifurcation
108_1,339,47,2.8284271247461903,337,49,bifurcation
108_1,315,121,3.0,312,121,termination
108_1,288,195,3.1622776601683795,291,194,bifurcation
108_1,360,26,7.615773105863909,357,33,termination
108_1,360,30,4.242640687119285,357,33,termination
108_2,316,214,7.0710678118654755,317,221,bifurcation
108_2,341,183,5.0990195135927845,340,188,termination
108_2,264,191,7.0710678118654755,263,198,bifurcation
108_2,321,318,6.4031242374328485,326,322,bifurcation
108_2,263,306,4.47213595499958,267,308,bifurcation
108_2,310,143,7.615773105863909,303,140,bifurcation
108_2,282,333,5.830951894845301,277,330,bifurcation
108_2,331,348,6.4031242374328485,335,343,bifurcation
108_2,335,265,3.1622776601683795,332,266,bifurcation
108_3,320,284,5.0990195135927845,321,289,bifurcation
108_3,239,367,4.123105625617661,235,368,bifurcation
108_3,272,269,5.385164807134504,277,271,bifurcation
108_3,299,237,5.0,295,240,termination
108_3,382,192,4.123105625617661,383,188,bifurcation
108_3,287,313,4.0,287,317,bifurcation
108_3,372,297,6.4031242374328485,376,292,bifurcation
108_4,304,259,5.0,307,263,termination
108_4,296,111,5.385164807134504,294,106,bifurcation
108_4,348,133,3.1622776601683795,351,132,termination
108_4,246,159,5.0,243,163,bifurcation
108_4,398,220,1.4142135623730951,399,219,bifurcation
108_4,396,221,3.605551275463989,399,219,bifurcation
108_5,262,268,6.324555320336759,260,274,bifurcation
108_5,325,233,5.0,325,238,bifurcation
108_5,255,242,6.0,255,248,termination
108_5,253,246,2.8284271247461903,255,248,termination
108_5,207,322,7.211102550927978,211,328,bifurcation
108_5,189,168,5.385164807134504,187,163,bifurcation
108_5,236,189,6.082762530298219,235,195,termination
108_5,337,378,5.0,341,381,bifurcation
108_6,248,256,7.0710678118654755,247,263,termination
108_6,253,258,7.810249675906654,247,263,termination
108_6,250,217,5.656854249492381,246,213,bifurcation
108_6,219,117,3.605551275463989,222,119,bifurcation
108_6,136,291,5.385164807134504,131,289,termination
108_6,195,317,7.615773105863909,198,324,bifurcation
108_6,195,321,4.242640687119285,198,324,bifurcation
108_6,338,193,5.830951894845301,333,190,bifurcation
108_6,347,190,5.830951894845301,352,193,bifurcation
108_6,334,123,7.615773105863909,337,130,bifurcation
108_6,290,268,2.8284271247461903,292,266,bifurcation
108_7,287,214,5.0,282,214,bifurcation
108_7,351,173,4.47213595499958,347,175,bifurcation
108_7,158,289,3.0,155,289,bifurcation
108_7,239,181,3.1622776601683795,240,184,bifurcation
108_8,268,257,6.082762530298219,267,263,bifurcation
108_8,270,322,5.385164807134504,265,320,bifurcation
108_8,355,411,6.4031242374328485,350,407,bifurcation
108_8,303,113,4.0,303,117,bifurcation
108_8,370,226,7.0710678118654755,377,225,termination
108_8,296,398,5.830951894845301,301,401,bifurcation
108_8,162,446,3.1622776601683795,163,449,bifurcation
108_8,300,158,5.0,305,158,bifurcation
109_1,366,110,8.0,358,110,termination
109_1,215,215,5.0990195135927845,214,220,termination
109_1,356,214,3.605551275463989,358,217,termination
109_1,254,218,5.0,250,221,termination
109_1,304,171,5.0,308,168,termination
109_2,300,220,6.0,294,220,bifurcation
109_2,264,174,2.23606797749979,263,172,termination
109_2,349,295,4.47213595499958,351,299,termination
109_2,355,225,2.0,355,223,termination
109_3,312,127,4.47213595499958,308,129,bifurcation
109_3,377,287,6.4031242374328485,381,282,termination
109_3,211,257,7.280109889280518,218,259,termination
109_3,220,206,4.47213595499958,218,202,termination
109_3,326,263,5.0,329,259,termination
109_3,258,332,4.47213595499958,260,328,bifurcation
109_3,317,303,7.810249675906654,323,308,bifurcation
109_3,167,200,2.23606797749979,168,198,termination
109_3,317,327,6.0,317,333,termination
109_4,254,205,4.242640687119285,251,208,termination
109_4,248,206,3.605551275463989,251,208,termination
109_4,322,295,5.830951894845301,325,300,bifurcation
109_4,311,270,7.810249675906654,317,275,bifurcation
109_4,237,254,4.47213595499958,241,252,termination
109_4,297,386,3.605551275463989,299,389,bifurcation
109_4,380,364,1.4142135623730951,381,365,termination
109_5,215,207,3.605551275463989,218,205,termination
109_5,246,275,6.324555320336759,244,269,termination
109_5,186,130,3.1622776601683795,189,131,termination
109_5,247,354,4.123105625617661,248,358,termination
109_5,239,333,3.605551275463989,236,335,bifurcation
109_5,367,302,6.4031242374328485,372,306,termination
109_5,179,164,4.47213595499958,183,166,termination
109_5,303,344,4.0,303,348,bifurcation
109_6,322,255,5.830951894845301,327,258,bifurcation
109_6,319,258,8.0,327,258,bifurcation
109_6,350,195,5.0,347,191,termination
109_6,312,119,3.0,309,119,termination
109_6,369,221,4.47213595499958,365,219,bifurcation
109_7,369,284,7.211102550927978,375,288,bifurcation
109_8,299,140,7.0710678118654755,298,147,bifurcation
109_8,366,142,5.0,366,147,bifurcation
109_8,279,174,5.656854249492381,283,178,termination
109_8,403,226,6.0,403,220,termination
109_8,445,347,6.4031242374328485,449,352,termination
109_8,382,309,3.0,385,309,termination
109_8,379,313,7.211102550927978,385,309,termination
109_8,384,316,7.0710678118654755,385,309,termination
110_1,229,190,3.605551275463989,226,188,bifurcation
110_1,364,136,6.4031242374328485,369,140,bifurcation
110_1,369,142,2.0,369,140,bifurcation
110_1,362,143,7.615773105863909,369,140,bifurcation
110_1,301,31,5.0,298,35,bifurcation
110_1,269,55,7.280109889280518,262,53,bifurcation
110_1,295,199,3.0,295,202,termination
110_1,254,26,4.0,250,26,termination
110_1,243,28,7.280109889280518,250,26,termination
110_1,222,114,3.605551275463989,225,116,bifurcation
110_1,223,123,7.280109889280518,225,116,bifurcation
110_1,354,188,5.385164807134504,359,190,termination
110_1,204,163,5.0,208,166,bifurcation
110_1,314,87,7.615773105863909,307,90,termination
110_1,309,93,3.605551275463989,307,90,termination
110_1,204,60,1.4142135623730951,205,59,termination
110_2,287,99,5.385164807134504,292,101,termination
110_2,228,219,3.605551275463989,231,217,termination
110_2,255,230,5.830951894845301,260,233,bifurcation
110_2,420,270,5.385164807134504,415,272,bifurcation
110_2,395,286,6.082762530298219,394,280,bifurcation
110_2,318,335,3.1622776601683795,315,334,bifurcation
110_2,300,351,6.324555320336759,302,357,bifurcation
110_3,350,299,4.47213595499958,346,301,termination
110_3,349,303,3.605551275463989,346,301,termination
110_3,332,269,1.0,332,268,bifurcation
110_3,254,369,7.280109889280518,261,371,bifurcation
110_3,256,375,6.4031242374328485,261,371,bifurcation
110_3,251,375,7.280109889280518,253,382,bifurcation
110_3,256,375,7.615773105863909,253,382,bifurcation
110_3,258,382,5.0,253,382,bifurcation
110_3,316,198,5.0990195135927845,315,193,bifurcation
110_3,248,292,8.0,248,284,termination
110_3,270,336,5.385164807134504,265,338,bifurcation
110_3,219,260,6.082762530298219,218,266,termination
110_3,390,303,4.123105625617661,391,307,bifurcation
110_3,392,303,4.123105625617661,391,307,bifurcation
110_3,272,303,6.4031242374328485,277,307,bifurcation
110_3,281,167,5.0990195135927845,280,172,bifurcation
110_3,358,397,1.4142135623730951,357,398,termination
110_4,303,334,5.0,300,330,termination
110_4,374,333,1.0,373,333,termination
110_4,412,321,2.0,412,323,termination
110_4,427,215,7.0710678118654755,434,216,termination
