file,point_x,point_y,kind
101_3,368,169,termination
101_3,255,364,bifurcation
101_3,373,395,bifurcation
101_3,253,366,bifurcation
101_3,340,421,bifurcation
101_3,372,188,bifurcation
101_3,366,154,termination
101_3,370,189,termination
101_3,369,404,termination
101_3,369,383,bifurcation
101_3,286,316,termination
101_3,366,421,termination
101_3,231,194,bifurcation
101_3,343,426,termination
101_3,212,384,termination
101_3,347,431,bifurcation
101_3,299,411,termination
101_3,269,354,termination
101_3,251,412,termination
101_3,255,362,bifurcation
101_3,340,424,bifurcation
101_3,355,430,bifurcation
101_3,368,158,termination
101_3,364,186,termination
101_3,369,390,bifurcation
101_3,368,383,bifurcation
101_3,371,390,bifurcation
101_3,247,431,termination
101_3,223,432,bifurcation
101_3,366,397,bifurcation
101_3,367,389,bifurcation
101_3,359,429,termination
101_3,264,354,termination
101_3,337,130,termination
101_3,218,424,termination
101_3,367,173,bifurcation
101_3,369,415,termination
101_4,234,234,termination
101_4,316,178,termination
101_4,350,292,termination
101_4,232,269,termination
101_4,185,324,termination
101_4,198,138,bifurcation
101_4,349,173,termination
101_4,252,261,termination
101_4,203,293,termination
101_4,228,163,termination
101_4,228,334,termination
101_4,238,267,bifurcation
101_4,216,274,termination
101_4,350,295,bifurcation
101_4,206,110,bifurcation
101_4,321,102,termination
101_4,347,140,bifurcation
101_4,351,144,bifurcation
101_4,196,168,bifurcation
101_4,178,170,termination
101_4,353,157,termination
101_4,355,177,bifurcation
101_4,290,158,termination
101_4,254,270,bifurcation
101_4,254,267,termination
101_4,348,288,termination
101_4,350,139,bifurcation
101_4,350,161,bifurcation
101_4,195,169,bifurcation
101_4,353,176,termination
101_4,287,137,bifurcation
101_4,189,302,termination
101_4,241,338,bifurcation
101_4,351,150,bifurcation
101_4,243,251,bifurcation
101_4,191,300,termination
101_4,204,130,bifurcation
101_4,353,152,termination
101_5,255,115,termination
101_5,223,372,bifurcation
101_5,280,374,termination
101_5,324,340,bifurcation
101_5,377,108,termination
101_5,227,183,bifurcation
101_5,406,109,bifurcation
101_5,260,85,bifurcation
101_5,399,84,bifurcation
101_5,221,237,bifurcation
101_5,371,301,bifurcation
101_5,401,253,bifurcation
101_5,384,122,bifurcation
101_5,369,329,termination
101_5,271,365,bifurcation
101_5,380,307,bifurcation
101_5,349,358,termination
101_5,230,183,bifurcation
101_5,395,145,termination
101_5,240,369,termination
101_5,383,122,bifurcation
101_5,399,266,bifurcation
101_5,396,285,termination
101_5,350,307,termination
101_5,270,339,termination
101_5,379,315,termination
101_5,324,185,termination
101_5,396,292,bifurcation
101_5,400,64,termination
101_5,396,276,bifurcation
101_5,319,328,bifurcation
101_5,225,183,termination
101_5,397,65,termination
101_5,408,254,termination
101_5,271,343,bifurcation
101_5,325,367,termination
101_5,398,69,termination
101_5,397,73,bifurcation
101_5,354,351,bifurcation
101_5,366,337,bifurcation
101_5,387,305,termination
101_5,220,243,termination
101_5,367,320,bifurcation
101_5,372,318,termination
101_5,283,288,bifurcation
101_5,227,204,termination
101_5,314,277,termination
101_5,273,224,bifurcation
101_5,316,65,bifurcation
101_5,296,74,bifurcation
101_5,399,92,bifurcation
101_5,321,365,termination
101_5,298,188,bifurcation
101_5,302,229,bifurcation
101_5,267,338,termination
101_5,377,312,bifurcation
101_5,222,237,bifurcation
101_5,229,184,bifurcation
101_5,366,321,termination
101_5,317,331,bifurcation
101_5,228,182,bifurcation
101_5,320,215,bifurcation
101_5,399,73,bifurcation
101_5,369,336,termination
101_5,400,74,termination
101_5,277,302,termination
101_5,408,187,bifurcation
101_5,383,124,bifurcation
101_5,359,350,termination
101_5,229,183,bifurcation
101_5,296,78,bifurcation
101_5,229,181,bifurcation
101_5,260,88,bifurcation
101_5,407,254,termination
101_5,262,250,bifurcation
101_5,404,253,termination
101_6,224,301,bifurcation
101_6,351,133,bifurcation
101_6,308,152,termination
101_6,298,343,bifurcation
101_6,347,224,bifurcation
101_6,222,271,bifurcation
101_6,307,160,bifurcation
101_6,285,279,termination
101_6,349,192,bifurcation
101_6,200,180,termination
101_6,323,272,bifurcation
101_6,321,92,termination
101_6,190,326,termination
101_6,199,286,termination
101_6,335,106,termination
101_6,217,300,termination
101_6,288,283,termination
101_6,320,82,termination
101_6,174,326,bifurcation
101_6,325,230,bifurcation
101_6,335,110,termination
101_6,335,222,bifurcation
101_6,220,302,termination
101_6,291,178,termination
101_6,163,118,termination
101_6,350,126,bifurcation
101_6,336,325,bifurcation
101_6,330,302,bifurcation
101_6,191,329,bifurcation
101_6,348,140,bifurcation
101_6,197,284,bifurcation
101_6,348,238,termination
101_6,295,275,bifurcation
101_6,353,149,termination
101_6,302,332,bifurcation
101_6,319,99,termination
101_6,344,252,bifurcation
101_6,190,286,termination
101_6,265,317,termination
101_6,298,340,bifurcation
101_6,222,280,termination
101_6,300,337,termination
101_6,308,164,termination
101_6,287,316,termination
101_6,311,232,termination
101_6,285,275,bifurcation
101_6,332,264,termination
101_6,337,205,bifurcation
101_6,334,272,termination
101_6,222,268,termination
101_6,327,280,bifurcation
101_6,350,340,bifurcation
101_6,287,340,bifurcation
101_6,311,168,termination
101_6,331,238,bifurcation
101_6,312,228,bifurcation
101_6,348,328,bifurcation
101_6,334,330,bifurcation
101_6,347,128,bifurcation
101_6,329,255,bifurcation
101_6,324,264,termination
101_6,343,195,bifurcation
101_6,310,228,bifurcation
101_6,209,254,termination
101_6,173,323,bifurcation
101_6,303,332,bifurcation
101_6,303,334,bifurcation
101_6,351,298,bifurcation
101_7,381,124,bifurcation
101_7,343,283,bifurcation
101_7,226,373,bifurcation
101_7,218,291,bifurcation
101_7,380,113,bifurcation
101_7,219,168,bifurcation
101_7,390,340,bifurcation
101_7,285,243,termination
101_7,285,248,bifurcation
101_7,383,126,bifurcation
101_7,363,142,bifurcation
101_7,388,185,termination
101_7,352,354,bifurcation
101_7,286,238,termination
101_7,364,238,bifurcation
101_7,216,268,bifurcation
101_7,296,342,bifurcation
101_7,384,347,termination
101_7,366,95,bifurcation
101_7,390,193,bifurcation
101_7,380,379,termination
101_7,216,275,bifurcation
101_7,362,311,bifurcation
101_7,246,312,bifurcation
101_7,384,126,termination
101_7,369,93,termination
101_7,362,312,bifurcation
101_7,292,239,bifurcation
101_7,384,112,termination
101_7,217,260,termination
101_7,225,301,bifurcation
101_7,373,237,bifurcation
101_7,225,375,termination
101_7,262,269,termination
101_7,384,183,bifurcation
101_7,387,321,bifurcation
101_7,347,69,termination
101_7,216,267,bifurcation
101_7,322,302,termination
101_7,384,119,termination
101_7,209,261,termination
101_7,383,112,bifurcation
101_7,383,124,bifurcation
101_7,217,263,termination
101_7,387,369,termination
101_7,373,301,bifurcation
101_7,369,319,bifurcation
101_7,253,291,termination
101_7,381,116,termination
101_8,252,65,termination
101_8,297,254,termination
101_8,265,335,termination
101_8,263,274,termination
101_8,277,301,termination
101_8,361,365,termination
101_8,366,315,termination
101_8,371,367,termination
101_8,235,158,termination
101_8,319,370,termination
101_8,233,111,termination
101_8,236,407,termination
101_8,292,426,termination
101_8,286,421,termination
101_8,233,153,termination
101_8,219,118,termination
101_8,202,212,termination
101_8,317,209,termination
101_8,218,188,termination
101_8,228,98,termination
101_8,221,150,termination
101_8,238,229,termination
101_8,217,178,termination
101_8,228,69,termination
101_8,343,166,termination
101_8,340,382,termination
101_8,364,191,termination
101_8,348,239,termination
101_8,225,164,termination
101_8,349,125,termination
101_8,305,66,termination
101_8,201,252,termination
101_8,329,404,termination
101_8,286,257,termination
101_8,348,102,bifurcation
101_8,366,318,termination
101_8,238,268,bifurcation
101_8,210,373,termination
101_8,232,81,termination
101_8,205,190,termination
101_8,290,367,termination
101_8,265,229,termination
101_8,217,254,termination
101_8,366,406,termination
101_8,238,415,termination
101_8,367,131,bifurcation
101_8,211,204,termination
101_8,229,282,termination
101_8,371,321,termination
101_8,310,118,termination
101_8,320,406,termination
101_8,342,157,termination
101_8,366,120,termination
101_8,363,323,termination
101_8,253,396,termination
101_8,287,264,termination
101_8,366,173,termination
101_8,338,108,termination
101_8,369,201,termination
101_8,372,317,termination
101_8,282,412,bifurcation
101_8,220,194,termination
101_8,239,80,termination
101_8,204,201,termination
101_8,361,349,termination
101_8,341,227,termination
101_8,363,313,termination
101_8,234,105,termination
101_8,368,218,termination
101_8,318,402,termination
101_8,318,151,termination
101_8,321,220,termination
101_8,333,382,termination
101_8,363,356,termination
101_8,333,109,termination
101_8,339,173,termination
101_8,354,138,termination
101_8,270,256,termination
101_8,364,343,termination
101_8,330,232,termination
101_8,286,243,termination
101_8,327,382,termination
101_8,361,413,termination
101_8,313,129,termination
101_8,210,252,termination
101_8,269,227,termination
101_8,327,99,termination
101_8,225,277,termination
101_8,295,351,termination
101_8,279,392,termination
101_8,367,138,bifurcation
101_8,367,398,termination
101_8,368,403,termination
101_8,303,413,termination
101_8,365,393,termination
101_8,213,235,termination
101_8,347,389,termination
101_8,329,93,termination
101_8,365,202,termination
101_8,224,381,termination
101_8,253,389,termination
101_8,297,352,termination
101_8,272,222,termination
101_8,312,77,termination
101_8,235,89,termination
101_8,363,132,bifurcation
101_8,365,405,bifurcation
101_8,213,381,termination
101_8,283,413,termination
101_8,361,156,termination
101_8,347,315,termination
101_8,362,378,termination
101_8,367,333,bifurcation
101_8,336,400,termination
101_8,335,302,termination
101_8,353,104,termination
101_8,297,389,termination
101_8,290,318,termination
101_8,328,299,termination
101_8,338,176,termination
101_8,283,423,termination
101_8,336,112,termination
101_8,365,216,termination
101_8,362,370,termination
101_8,291,375,termination
101_8,294,383,termination
101_8,368,206,termination
101_8,311,127,termination
101_8,265,237,bifurcation
101_8,207,207,termination
101_8,217,265,termination
101_8,212,183,termination
101_8,258,387,termination
101_8,230,80,bifurcation
101_8,347,160,termination
101_8,363,368,termination
101_8,234,168,termination
101_8,325,340,termination
101_8,271,390,termination
101_8,202,237,termination
101_8,335,104,termination
101_8,212,164,termination
101_8,221,272,termination
101_8,327,67,termination
101_8,363,366,termination
101_8,366,319,termination
101_8,220,160,termination
101_8,268,272,termination
101_8,286,359,termination
101_8,231,236,termination
101_8,351,102,bifurcation
101_8,217,230,termination
101_8,305,131,termination
101_8,332,171,termination
101_8,267,67,termination
101_8,356,204,termination
101_8,366,397,bifurcation
101_8,265,421,termination
101_8,327,224,termination
101_8,260,68,termination
101_8,367,316,termination
101_8,205,179,termination
101_8,343,374,termination
102_1,365,89,termination
102_1,212,162,termination
102_1,348,81,bifurcation
102_1,345,77,bifurcation
102_1,351,91,bifurcation
102_1,242,245,termination
102_1,236,260,termination
102_1,349,85,termination
102_1,240,248,bifurcation
102_1,255,175,bifurcation
102_1,242,76,termination
102_1,367,276,bifurcation
102_1,367,123,bifurcation
102_1,231,243,termination
102_1,350,88,termination
102_1,251,182,bifurcation
102_1,227,87,termination
102_1,259,205,termination
102_1,265,221,bifurcation
102_1,233,237,termination
102_1,242,256,termination
102_1,233,182,bifurcation
102_1,275,241,termination
102_1,308,278,termination
102_1,352,108,bifurcation
102_1,260,208,bifurcation
102_1,351,107,bifurcation
102_1,237,180,bifurcation
102_1,299,268,termination
102_1,243,262,termination
102_1,267,200,termination
102_1,352,81,bifurcation
102_1,238,270,bifurcation
102_1,211,126,termination
102_1,254,173,termination
102_1,347,93,bifurcation
102_1,251,200,bifurcation
102_1,255,201,termination
102_1,303,251,termination
102_1,237,263,bifurcation
102_1,266,192,bifurcation
102_1,364,134,bifurcation
102_1,366,91,termination
102_1,351,100,bifurcation
102_1,350,76,bifurcation
102_1,261,221,termination
102_1,364,90,bifurcation
102_1,283,186,bifurcation
102_1,363,84,termination
102_1,254,210,termination
102_1,257,216,termination
102_1,233,177,termination
102_1,306,256,termination
102_1,247,273,bifurcation
102_1,367,133,bifurcation
102_1,239,179,termination
102_1,228,247,bifurcation
102_1,231,263,bifurcation
102_1,329,204,bifurcation
102_2,423,129,termination
102_2,284,240,termination
102_2,248,366,bifurcation
102_2,262,287,bifurcation
102_2,392,365,termination
102_2,270,238,termination
102_2,356,254,termination
102_2,229,269,termination
102_2,293,269,bifurcation
102_2,410,340,termination
102_2,257,286,termination
102_2,417,361,termination
102_2,253,230,termination
102_2,324,415,termination
102_2,268,292,termination
102_2,430,144,bifurcation
102_2,413,128,bifurcation
102_2,270,227,termination
102_2,339,337,termination
102_2,429,164,termination
102_2,302,300,termination
102_2,237,279,termination
102_2,430,174,bifurcation
102_2,431,422,termination
102_2,241,212,termination
102_2,230,276,termination
102_2,388,107,bifurcation
102_2,413,112,bifurcation
102_2,228,269,bifurcation
102_2,286,276,termination
102_2,255,232,bifurcation
102_2,428,160,bifurcation
102_2,254,232,bifurcation
102_2,417,356,termination
102_2,219,240,termination
102_2,316,279,termination
102_2,243,372,termination
102_2,413,114,bifurcation
102_2,406,320,bifurcation
102_2,350,247,termination
102_2,276,222,termination
102_2,243,188,termination
102_2,308,302,termination
102_2,404,320,termination
102_2,250,364,bifurcation
102_2,260,221,termination
102_2,283,242,bifurcation
102_2,252,372,bifurcation
102_2,236,383,bifurcation
102_2,224,344,termination
102_2,420,126,termination
102_2,300,141,termination
102_2,334,339,termination
102_2,246,204,bifurcation
102_2,242,297,termination
102_2,335,341,termination
102_2,269,381,termination
102_2,224,178,termination
102_2,336,302,termination
102_2,260,287,bifurcation
102_2,408,334,termination
102_2,269,369,termination
102_2,270,375,termination
102_2,430,168,termination
102_2,433,189,bifurcation
102_2,283,107,termination
102_2,262,228,termination
102_2,399,369,termination
102_2,242,342,termination
102_2,289,428,termination
102_2,306,225,termination
102_2,286,269,termination
102_2,392,367,termination
102_2,209,389,termination
102_2,407,334,termination
102_2,432,411,termination
102_2,230,181,termination
102_2,272,365,termination
102_2,307,294,termination
102_2,363,403,termination
102_2,258,305,termination
102_2,287,280,bifurcation
102_2,299,300,bifurcation
102_2,241,287,termination
102_2,401,93,termination
102_2,252,364,termination
102_2,298,147,termination
102_2,261,222,bifurcation
102_2,397,174,termination
102_2,205,238,termination
102_2,241,219,termination
102_2,317,260,termination
102_2,213,370,termination
102_2,414,112,bifurcation
102_2,302,143,termination
102_2,339,332,termination
102_2,268,219,bifurcation
102_2,324,287,termination
102_2,243,351,termination
102_2,281,198,termination
102_2,337,335,termination
102_2,271,230,bifurcation
102_2,224,350,termination
102_2,413,116,termination
102_2,432,191,bifurcation
102_2,268,224,termination
102_2,281,358,bifurcation
102_2,268,237,bifurcation
102_2,271,380,bifurcation
102_2,412,319,termination
102_3,413,46,bifurcation
102_3,303,260,bifurcation
102_3,293,267,bifurcation
102_3,252,249,bifurcation
102_3,235,192,bifurcation
102_3,369,359,bifurcation
102_3,431,190,termination
102_3,347,349,bifurcation
102_3,211,239,bifurcation
102_3,260,268,termination
102_3,415,61,bifurcation
102_3,333,257,termination
102_3,416,49,termination
102_3,399,2,termination
102_3,220,230,termination
102_3,326,254,termination
102_3,430,82,bifurcation
102_3,263,235,bifurcation
102_3,302,257,termination
102_3,259,252,bifurcation
102_3,282,346,termination
102_3,244,195,termination
102_3,278,245,termination
102_3,277,262,bifurcation
102_3,237,193,termination
102_3,255,252,bifurcation
102_3,234,150,bifurcation
102_3,253,194,bifurcation
102_3,287,236,termination
102_3,220,235,termination
102_3,209,220,bifurcation
102_3,254,215,termination
102_3,241,252,termination
102_3,243,269,bifurcation
102_3,397,2,bifurcation
102_3,269,267,bifurcation
102_3,366,333,bifurcation
102_3,223,239,bifurcation
102_3,238,238,termination
102_3,293,265,bifurcation
102_3,270,260,termination
102_3,397,15,bifurcation
102_3,270,242,bifurcation
102_3,273,276,bifurcation
102_3,277,266,bifurcation
102_3,401,20,termination
102_3,283,237,bifurcation
102_3,397,4,termination
102_3,414,41,termination
102_3,401,8,termination
102_3,285,270,bifurcation
102_3,236,247,termination
102_3,251,254,termination
102_3,432,204,termination
102_3,322,344,bifurcation
102_3,231,285,bifurcation
102_3,416,56,termination
102_3,428,197,termination
102_3,431,109,bifurcation
102_3,254,242,termination
102_3,433,114,termination
102_3,232,8,bifurcation
102_3,253,247,termination
102_3,427,195,bifurcation
102_3,250,237,bifurcation
102_3,412,37,termination
102_3,233,271,termination
102_3,221,239,bifurcation
102_3,327,269,termination
102_3,269,238,bifurcation
102_3,258,275,bifurcation
102_3,241,245,termination
102_3,398,343,bifurcation
102_3,262,222,termination
102_3,269,278,bifurcation
102_3,206,146,termination
102_3,431,95,bifurcation
102_4,384,220,bifurcation
102_4,221,279,bifurcation
102_4,245,270,bifurcation
102_4,249,236,termination
102_4,174,341,bifurcation
102_4,385,198,termination
102_4,247,230,termination
102_4,334,122,termination
102_4,189,215,termination
102_4,223,237,termination
102_4,384,203,termination
102_4,255,248,bifurcation
102_4,222,446,bifurcation
102_4,220,237,bifurcation
102_4,379,180,termination
102_4,192,433,termination
102_4,177,343,termination
102_4,184,177,termination
102_4,190,326,termination
102_4,214,316,termination
102_4,240,237,termination
102_4,174,273,termination
102_4,217,110,termination
102_4,224,296,termination
102_4,139,251,termination
102_4,182,429,bifurcation
102_4,206,220,termination
102_4,216,216,termination
102_4,172,430,bifurcation
102_4,244,253,termination
102_4,173,430,bifurcation
102_4,350,141,bifurcation
102_4,206,275,termination
102_4,180,334,termination
102_4,222,308,termination
102_4,225,211,termination
102_4,365,156,bifurcation
102_4,177,237,termination
102_4,190,271,termination
102_4,281,282,termination
102_4,207,208,termination
102_4,364,187,bifurcation
102_4,244,269,termination
102_4,383,195,bifurcation
102_4,185,316,bifurcation
102_4,396,240,bifurcation
102_4,179,261,termination
102_4,353,141,termination
102_4,188,317,termination
102_4,176,350,termination
102_4,227,206,termination
102_4,171,251,termination
102_4,190,155,termination
102_4,383,208,bifurcation
102_4,284,284,termination
102_4,239,303,bifurcation
102_4,234,212,termination
102_4,233,273,termination
102_4,173,263,termination
102_4,179,118,termination
102_4,233,220,bifurcation
102_4,334,126,bifurcation
102_4,237,252,termination
102_4,382,223,bifurcation
102_4,226,219,termination
102_4,337,125,termination
102_4,316,332,termination
102_4,339,202,termination
102_4,184,183,termination
102_4,182,334,bifurcation
102_4,163,424,termination
102_4,394,227,termination
102_4,254,245,termination
102_4,334,125,bifurcation
102_4,360,146,termination
102_4,235,235,bifurcation
102_4,314,337,termination
102_4,328,441,bifurcation
102_4,255,239,bifurcation
102_4,278,283,bifurcation
102_4,173,343,termination
102_4,205,216,termination
102_4,380,195,bifurcation
102_4,350,142,bifurcation
102_4,342,208,termination
102_4,173,432,termination
102_4,387,221,termination
102_4,151,356,termination
102_4,236,260,bifurcation
102_4,174,426,termination
102_4,165,253,termination
102_4,204,220,bifurcation
102_4,178,165,termination
102_4,366,170,bifurcation
102_4,321,397,termination
102_4,284,304,termination
102_4,216,222,termination
102_4,214,303,termination
102_4,238,248,termination
102_4,241,303,termination
102_4,177,437,termination
102_4,183,348,termination
102_4,174,371,termination
102_4,297,320,termination
102_4,352,430,bifurcation
102_4,189,162,termination
102_4,172,413,bifurcation
102_4,184,340,termination
102_4,381,199,termination
102_5,271,269,termination
102_5,432,415,termination
102_5,286,131,termination
102_5,348,73,termination
102_5,478,328,termination
102_5,318,203,termination
102_5,283,257,termination
102_5,300,222,bifurcation
102_5,459,364,bifurcation
102_5,285,166,termination
102_5,406,400,termination
102_5,319,233,bifurcation
102_5,305,85,termination
102_5,251,220,bifurcation
102_5,330,261,termination
102_5,326,402,termination
102_5,254,397,termination
102_5,483,84,bifurcation
102_5,476,310,bifurcation
102_5,433,405,termination
102_5,304,231,termination
102_5,318,192,termination
102_5,301,234,termination
102_5,306,252,bifurcation
102_5,455,312,termination
102_5,454,383,termination
102_5,303,242,termination
102_5,465,344,termination
102_5,306,209,termination
102_5,334,239,termination
102_5,311,236,termination
102_5,480,310,bifurcation
102_5,478,90,termination
102_5,479,294,bifurcation
102_5,470,332,termination
102_5,303,204,termination
102_5,486,282,bifurcation
102_5,483,90,bifurcation
102_5,319,221,termination
102_5,299,95,termination
102_5,259,188,termination
102_5,302,250,termination
102_5,432,411,termination
102_5,274,260,bifurcation
102_5,303,222,termination
102_5,446,391,termination
102_5,310,419,termination
102_5,481,311,termination
102_5,305,197,termination
102_5,475,307,bifurcation
102_5,285,259,termination
102_5,320,215,termination
102_5,461,354,termination
102_5,338,293,termination
102_5,465,351,termination
102_5,476,74,bifurcation
102_5,310,217,termination
102_5,464,359,termination
102_5,270,259,termination
102_5,446,305,bifurcation
102_5,262,139,bifurcation
102_5,460,350,bifurcation
102_5,318,194,bifurcation
102_5,247,205,termination
102_5,479,306,bifurcation
102_5,459,380,termination
102_5,290,408,bifurcation
102_5,301,255,termination
102_5,463,363,bifurcation
102_5,479,78,bifurcation
102_5,464,363,termination
102_6,411,185,bifurcation
102_6,233,318,termination
102_6,417,162,termination
102_6,280,249,termination
102_6,277,236,bifurcation
102_6,240,176,termination
102_6,222,150,termination
102_6,275,229,termination
102_6,238,93,termination
102_6,223,148,bifurcation
102_6,282,218,termination
102_6,251,204,termination
102_6,411,162,bifurcation
102_6,384,93,termination
102_6,254,275,bifurcation
102_6,270,201,termination
102_6,291,402,bifurcation
102_6,349,400,bifurcation
102_6,231,251,bifurcation
102_6,233,256,termination
102_6,415,191,bifurcation
102_6,237,152,bifurcation
102_6,279,260,bifurcation
102_6,217,300,termination
102_6,222,323,bifurcation
102_6,383,102,bifurcation
102_6,345,226,bifurcation
102_6,399,126,termination
102_6,244,335,bifurcation
102_6,220,147,bifurcation
102_6,397,123,termination
102_6,283,79,bifurcation
102_6,362,390,bifurcation
102_6,401,128,termination
102_6,367,78,bifurcation
102_6,270,251,bifurcation
102_6,231,317,termination
102_6,241,76,termination
102_6,254,386,termination
102_6,231,85,bifurcation
102_6,250,366,termination
102_6,255,335,bifurcation
102_6,218,215,bifurcation
102_6,233,262,termination
102_6,416,175,termination
102_6,284,252,bifurcation
102_6,247,336,bifurcation
102_6,237,318,bifurcation
102_6,256,363,bifurcation
102_6,269,207,termination
102_6,386,400,bifurcation
102_6,268,211,bifurcation
102_6,263,350,bifurcation
102_6,258,206,termination
102_6,213,249,termination
102_6,415,161,bifurcation
102_6,385,96,termination
102_6,326,397,termination
102_6,276,213,termination
102_6,325,279,termination
102_6,268,228,bifurcation
102_6,262,287,termination
102_6,260,282,termination
102_6,239,95,bifurcation
102_6,270,236,termination
102_6,220,245,bifurcation
102_6,236,335,bifurcation
102_6,235,327,termination
102_6,302,237,termination
102_6,322,400,bifurcation
102_6,283,220,bifurcation
102_6,322,396,bifurcation
102_6,231,185,termination
102_6,252,78,termination
102_6,238,267,termination
102_6,411,351,termination
102_6,226,334,bifurcation
102_6,390,349,termination
102_6,287,228,termination
102_7,304,264,bifurcation
102_7,412,363,bifurcation
102_7,323,370,termination
102_7,410,363,bifurcation
102_7,288,295,termination
102_7,243,307,termination
102_7,419,175,bifurcation
102_7,411,350,bifurcation
102_7,319,225,bifurcation
102_7,281,283,bifurcation
102_7,307,217,termination
102_7,303,213,termination
102_7,401,380,termination
102_7,285,216,termination
102_7,274,90,bifurcation
102_7,415,349,bifurcation
102_7,411,378,termination
102_7,421,113,termination
102_7,311,236,bifurcation
102_7,302,252,termination
102_7,259,261,termination
102_7,309,221,bifurcation
102_7,416,346,termination
102_7,403,379,bifurcation
102_7,294,228,bifurcation
102_7,268,183,bifurcation
102_7,417,340,termination
102_7,261,133,bifurcation
102_7,286,230,termination
102_7,397,376,termination
102_7,295,288,bifurcation
102_7,242,159,bifurcation
102_7,234,217,bifurcation
102_7,302,259,termination
102_7,396,373,bifurcation
102_7,346,283,termination
102_7,303,238,bifurcation
102_7,306,185,bifurcation
102_7,302,203,termination
102_7,286,270,termination
102_7,257,191,termination
102_7,296,223,bifurcation
102_7,286,228,bifurcation
102_7,225,89,termination
102_7,299,210,bifurcation
102_7,369,55,bifurcation
102_7,378,63,bifurcation
102_7,411,335,bifurcation
102_7,228,86,termination
102_7,415,365,bifurcation
102_7,300,185,bifurcation
102_7,244,225,bifurcation
102_7,304,187,bifurcation
102_7,380,59,bifurcation
102_7,402,365,termination
102_7,303,182,bifurcation
102_7,279,268,bifurcation
102_7,268,344,bifurcation
102_7,287,212,termination
102_7,414,334,bifurcation
102_7,238,242,termination
102_7,283,226,bifurcation
102_7,305,188,termination
102_7,417,109,termination
102_7,285,220,bifurcation
102_7,414,332,termination
102_7,228,236,termination
102_7,347,285,termination
102_7,370,72,bifurcation
102_7,348,309,termination
102_7,303,207,bifurcation
102_7,299,237,termination
102_7,329,241,termination
102_7,318,232,termination
102_7,413,341,termination
102_7,290,286,termination
102_7,311,252,bifurcation
102_7,416,349,termination
102_7,399,365,bifurcation
102_7,254,378,termination
102_7,400,82,termination
102_7,319,371,bifurcation
102_7,250,253,bifurcation
102_7,418,340,termination
102_7,415,362,bifurcation
102_7,254,342,termination
102_8,249,229,termination
102_8,346,58,termination
102_8,305,112,termination
102_8,412,199,termination
102_8,413,138,termination
102_8,379,113,termination
102_8,405,219,termination
102_8,372,94,termination
102_8,388,136,termination
102_8,302,223,termination
102_8,231,109,termination
102_8,259,67,termination
102_8,392,142,bifurcation
102_8,236,109,termination
102_8,285,208,termination
102_8,408,161,termination
102_8,356,66,termination
102_8,397,92,bifurcation
102_8,266,57,termination
102_8,283,215,bifurcation
102_8,427,369,bifurcation
102_8,414,251,termination
102_8,239,91,termination
102_8,400,102,termination
102_8,255,139,termination
102_8,281,185,termination
102_8,409,254,termination
102_8,277,181,termination
102_8,214,184,termination
102_8,406,243,termination
102_8,290,192,termination
102_8,283,193,bifurcation
102_8,414,282,bifurcation
102_8,228,69,termination
102_8,370,402,bifurcation
102_8,407,158,termination
102_8,410,309,termination
102_8,284,78,termination
102_8,397,229,termination
102_8,317,206,termination
